text,true_label,predicted_label,confidence,positive_probability,negative_probability,correct
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",POSITIVE,NEGATIVE,0.6902,0.3098,0.6902,False
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",POSITIVE,POSITIVE,0.9779,0.9779,0.0221,True
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",POSITIVE,POSITIVE,0.9858,0.9858,0.0142,True
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",POSITIVE,POSITIVE,0.8951,0.8951,0.1049,True
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",POSITIVE,POSITIVE,0.9681,0.9681,0.0319,True
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,POSITIVE,NEGATIVE,0.9852,0.0148,0.9852,False
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",POSITIVE,POSITIVE,0.7455,0.7455,0.2545,True
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",POSITIVE,NEGATIVE,0.9218,0.0782,0.9218,False
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",POSITIVE,POSITIVE,0.8175,0.8175,0.1825,True
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",POSITIVE,NEGATIVE,0.6529,0.3471,0.6529,False
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",POSITIVE,POSITIVE,0.8939,0.8939,0.1061,True
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",POSITIVE,NEGATIVE,0.949,0.051,0.949,False
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",POSITIVE,NEGATIVE,0.7158,0.2842,0.7158,False
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",POSITIVE,NEGATIVE,0.9953,0.0047,0.9953,False
Sales have risen in other export markets .,POSITIVE,POSITIVE,0.9956,0.9956,0.0044,True
Sales increased due to growing market rates and increased operations .,POSITIVE,POSITIVE,0.9995,0.9995,0.0005,True
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,POSITIVE,POSITIVE,0.9995,0.9995,0.0005,True
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",POSITIVE,POSITIVE,0.7468,0.7468,0.2532,True
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,POSITIVE,POSITIVE,0.8955,0.8955,0.1045,True
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",POSITIVE,NEGATIVE,0.9947,0.0053,0.9947,False
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",POSITIVE,POSITIVE,0.9968,0.9968,0.0032,True
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",POSITIVE,NEGATIVE,0.5085,0.4915,0.5085,False
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",POSITIVE,POSITIVE,0.9908,0.9908,0.0092,True
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",POSITIVE,NEGATIVE,0.6794,0.3206,0.6794,False
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",POSITIVE,POSITIVE,0.7028,0.7028,0.2972,True
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,POSITIVE,POSITIVE,0.8335,0.8335,0.1665,True
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",POSITIVE,NEGATIVE,0.9796,0.0204,0.9796,False
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,POSITIVE,NEGATIVE,0.9901,0.0099,0.9901,False
"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",POSITIVE,NEGATIVE,0.9802,0.0198,0.9802,False
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",POSITIVE,NEGATIVE,0.5999,0.4001,0.5999,False
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,POSITIVE,NEGATIVE,0.9753,0.0247,0.9753,False
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",POSITIVE,NEGATIVE,0.8325,0.1675,0.8325,False
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",POSITIVE,NEGATIVE,0.9902,0.0098,0.9902,False
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",POSITIVE,POSITIVE,0.8342,0.8342,0.1658,True
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,POSITIVE,NEGATIVE,0.9819,0.0181,0.9819,False
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,POSITIVE,POSITIVE,0.908,0.908,0.092,True
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",POSITIVE,POSITIVE,0.9996,0.9996,0.0004,True
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",POSITIVE,NEGATIVE,0.9995,0.0005,0.9995,False
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,POSITIVE,POSITIVE,0.9995,0.9995,0.0005,True
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",POSITIVE,NEGATIVE,0.8374,0.1626,0.8374,False
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",POSITIVE,POSITIVE,0.997,0.997,0.003,True
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",POSITIVE,POSITIVE,0.9994,0.9994,0.0006,True
"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",POSITIVE,POSITIVE,0.9967,0.9967,0.0033,True
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",POSITIVE,NEGATIVE,0.9711,0.0289,0.9711,False
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,POSITIVE,NEGATIVE,0.9753,0.0247,0.9753,False
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,POSITIVE,NEGATIVE,0.5419,0.4581,0.5419,False
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",POSITIVE,NEGATIVE,0.9107,0.0893,0.9107,False
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",POSITIVE,POSITIVE,0.8695,0.8695,0.1305,True
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,POSITIVE,POSITIVE,0.9376,0.9376,0.0624,True
An individual promotion also generated slightly higher-than-expected revenues .,POSITIVE,POSITIVE,0.9976,0.9976,0.0024,True
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,POSITIVE,POSITIVE,0.9984,0.9984,0.0016,True
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",POSITIVE,POSITIVE,0.8389,0.8389,0.1611,True
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,POSITIVE,POSITIVE,0.9964,0.9964,0.0036,True
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,POSITIVE,POSITIVE,0.903,0.903,0.097,True
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,POSITIVE,POSITIVE,0.9435,0.9435,0.0565,True
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,POSITIVE,POSITIVE,0.9971,0.9971,0.0029,True
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",POSITIVE,POSITIVE,0.9977,0.9977,0.0023,True
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",POSITIVE,NEGATIVE,0.9695,0.0305,0.9695,False
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",POSITIVE,POSITIVE,0.6807,0.6807,0.3193,True
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",POSITIVE,POSITIVE,0.5788,0.5788,0.4212,True
"International sales rose by 59.8 % to EUR 1,244.4 mn .",POSITIVE,POSITIVE,0.869,0.869,0.131,True
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,POSITIVE,POSITIVE,0.9573,0.9573,0.0427,True
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,POSITIVE,POSITIVE,0.8687,0.8687,0.1313,True
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",POSITIVE,NEGATIVE,0.6163,0.3837,0.6163,False
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",POSITIVE,NEGATIVE,0.5291,0.4709,0.5291,False
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",POSITIVE,NEGATIVE,0.9958,0.0042,0.9958,False
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,POSITIVE,NEGATIVE,0.7316,0.2684,0.7316,False
Operating profit margin increased from 11.2 % to 11.7 % .,POSITIVE,POSITIVE,0.9663,0.9663,0.0337,True
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,POSITIVE,NEGATIVE,0.9579,0.0421,0.9579,False
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,POSITIVE,NEGATIVE,0.9857,0.0143,0.9857,False
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",POSITIVE,NEGATIVE,0.9839,0.0161,0.9839,False
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",POSITIVE,POSITIVE,0.7356,0.7356,0.2644,True
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",POSITIVE,POSITIVE,0.934,0.934,0.066,True
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,POSITIVE,NEGATIVE,0.5171,0.4829,0.5171,False
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",POSITIVE,POSITIVE,0.9988,0.9988,0.0012,True
Sanoma Magazines ' net sales are estimated to grow in 2006 .,POSITIVE,POSITIVE,0.9975,0.9975,0.0025,True
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,POSITIVE,POSITIVE,0.9828,0.9828,0.0172,True
"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",POSITIVE,NEGATIVE,0.9921,0.0079,0.9921,False
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",POSITIVE,NEGATIVE,0.985,0.015,0.985,False
The Department Store Division reported an increase in sales of 4 per cent .,POSITIVE,POSITIVE,0.9791,0.9791,0.0209,True
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,POSITIVE,POSITIVE,0.9526,0.9526,0.0474,True
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",POSITIVE,POSITIVE,0.9973,0.9973,0.0027,True
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",POSITIVE,POSITIVE,0.9841,0.9841,0.0159,True
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",POSITIVE,POSITIVE,0.9968,0.9968,0.0032,True
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,POSITIVE,POSITIVE,0.7453,0.7453,0.2547,True
"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",POSITIVE,POSITIVE,0.9974,0.9974,0.0026,True
"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",POSITIVE,POSITIVE,0.9918,0.9918,0.0082,True
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',POSITIVE,POSITIVE,0.9957,0.9957,0.0043,True
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,POSITIVE,NEGATIVE,0.9339,0.0661,0.9339,False
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",POSITIVE,NEGATIVE,0.9444,0.0556,0.9444,False
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,POSITIVE,POSITIVE,0.7644,0.7644,0.2356,True
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,POSITIVE,NEGATIVE,0.9292,0.0708,0.9292,False
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,POSITIVE,NEGATIVE,0.9378,0.0622,0.9378,False
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,POSITIVE,NEGATIVE,0.83,0.17,0.83,False
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,POSITIVE,POSITIVE,0.9937,0.9937,0.0063,True
Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,POSITIVE,NEGATIVE,0.8983,0.1017,0.8983,False
Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,POSITIVE,NEGATIVE,0.7274,0.2726,0.7274,False
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",POSITIVE,POSITIVE,0.9528,0.9528,0.0472,True
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,POSITIVE,POSITIVE,0.992,0.992,0.008,True
According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,POSITIVE,NEGATIVE,0.996,0.004,0.996,False
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",POSITIVE,POSITIVE,0.7425,0.7425,0.2575,True
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",POSITIVE,NEGATIVE,0.7735,0.2265,0.7735,False
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",POSITIVE,POSITIVE,0.9977,0.9977,0.0023,True
"Again , the most significant sales increase of 18.6 % was in Russia .",POSITIVE,POSITIVE,0.9953,0.9953,0.0047,True
Alma Media expects its net sales to increase as forecast previously .,POSITIVE,NEGATIVE,0.9988,0.0012,0.9988,False
Also Lemmink+ñinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,POSITIVE,NEGATIVE,0.9943,0.0057,0.9943,False
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",POSITIVE,NEGATIVE,0.9912,0.0088,0.9912,False
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",POSITIVE,NEGATIVE,0.7112,0.2888,0.7112,False
"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",POSITIVE,POSITIVE,0.9484,0.9484,0.0516,True
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",POSITIVE,POSITIVE,0.978,0.978,0.022,True
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",POSITIVE,POSITIVE,0.9764,0.9764,0.0236,True
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",POSITIVE,POSITIVE,0.9787,0.9787,0.0213,True
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",POSITIVE,POSITIVE,0.9664,0.9664,0.0336,True
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",POSITIVE,POSITIVE,0.9817,0.9817,0.0183,True
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",POSITIVE,POSITIVE,0.945,0.945,0.055,True
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",POSITIVE,POSITIVE,0.9277,0.9277,0.0723,True
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",POSITIVE,POSITIVE,0.9693,0.9693,0.0307,True
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",POSITIVE,POSITIVE,0.9468,0.9468,0.0532,True
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",POSITIVE,POSITIVE,0.9626,0.9626,0.0374,True
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",POSITIVE,POSITIVE,0.9655,0.9655,0.0345,True
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",POSITIVE,POSITIVE,0.9392,0.9392,0.0608,True
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",POSITIVE,POSITIVE,0.8979,0.8979,0.1021,True
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",POSITIVE,POSITIVE,0.8833,0.8833,0.1167,True
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",POSITIVE,POSITIVE,0.8793,0.8793,0.1207,True
Cargo volume grew by 7 % .,POSITIVE,POSITIVE,0.9869,0.9869,0.0131,True
Cargo volume increased by approximately 5 % .,POSITIVE,POSITIVE,0.9848,0.9848,0.0152,True
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",POSITIVE,NEGATIVE,0.9114,0.0886,0.9114,False
