row_id,text,true_label,predicted_label,positive_probability,negative_probability,correct
1717,"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",NEGATIVE,NEGATIVE,0.3593,0.6407,True
1024,"Efore 's presence here also opens up new and interesting development opportunities for our students , '' the dean of the Faculty of Electronics , Communications and Automation at TKK said .",POSITIVE,POSITIVE,0.8099,0.1901,True
146,"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",POSITIVE,POSITIVE,0.7753,0.2247,True
894,Through this transaction we are able to participate in developing the industry .,POSITIVE,POSITIVE,0.7866,0.2134,True
1746,"Operating loss totalled EUR 0.3 mn , down from a profit of EUR 5.1 mn in the first half of 2009 .",NEGATIVE,NEGATIVE,0.0406,0.9594,True
952,"The seminar introduced modern , clean technologies and products , financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in Vietnam .",POSITIVE,POSITIVE,0.6696,0.3304,True
1231,These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,POSITIVE,POSITIVE,0.6682,0.3318,True
1175,"Juha Jordan , chief engineer at Glaston , said one of the reasons for choosing Vacon as a global AC drives supplier is that it has service and support centres in the same countries where Glaston operates .",POSITIVE,POSITIVE,0.6308,0.3692,True
376,"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",POSITIVE,POSITIVE,0.8623,0.1377,True
58,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,POSITIVE,POSITIVE,0.7012,0.2988,True
789,Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,POSITIVE,POSITIVE,0.5901,0.4099,True
170,Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .,POSITIVE,POSITIVE,0.7127,0.2873,True
662,Cision says the sale will return its U.K. operation to profitability .,POSITIVE,POSITIVE,0.7562,0.2438,True
1830,"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",NEGATIVE,NEGATIVE,0.2961,0.7039,True
469,"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",POSITIVE,POSITIVE,0.7554,0.2446,True
10,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",POSITIVE,POSITIVE,0.5923,0.4077,True
941,"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",NEGATIVE,POSITIVE,0.5361,0.4639,False
51,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",POSITIVE,POSITIVE,0.5645,0.4355,True
346,"The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .",POSITIVE,POSITIVE,0.724,0.276,True
1088,"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",NEGATIVE,NEGATIVE,0.3952,0.6048,True
1550,The measures result from weak demand in the shipbuilding industry .,NEGATIVE,NEGATIVE,0.4521,0.5479,True
1666,Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,POSITIVE,POSITIVE,0.6598,0.3402,True
577,"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive .",POSITIVE,POSITIVE,0.5862,0.4138,True
364,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,NEGATIVE,POSITIVE,0.6072,0.3928,False
777,"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",POSITIVE,POSITIVE,0.7489,0.2511,True
1475,Scanfil has also issued a profit warning .,NEGATIVE,NEGATIVE,0.2723,0.7277,True
1253,"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .",POSITIVE,POSITIVE,0.5388,0.4612,True
496,"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 .",POSITIVE,POSITIVE,0.7202,0.2798,True
1085,The completion of the recycling plant is an important link in the chain of creating a waste management system in the Dubna region that meets the EU standards .,POSITIVE,POSITIVE,0.6545,0.3455,True
457,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",POSITIVE,POSITIVE,0.6932,0.3068,True
1105,"Elcoteq 's stock of orders has stabilised in the past weeks , Mr Krippl said .",POSITIVE,POSITIVE,0.5191,0.4809,True
214,Operating profit rose to 22.1 mln eur from 19.9 mln .,POSITIVE,POSITIVE,0.839,0.161,True
388,"As the largest elevator market in the world , Chinese output of elevators continued to rise to 262,000 units in 2009 , up about 5 % yr-on-yr .",POSITIVE,POSITIVE,0.6839,0.3161,True
518,23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,NEGATIVE,NEGATIVE,0.467,0.533,True
565,"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",POSITIVE,POSITIVE,0.6737,0.3263,True
1366,"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",NEGATIVE,NEGATIVE,0.3578,0.6422,True
924,"The most loyal customers were found in the Bank of +àland , with an index of 8.0 .",POSITIVE,POSITIVE,0.6138,0.3862,True
831,"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .",POSITIVE,POSITIVE,0.6684,0.3316,True
1155,"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",POSITIVE,NEGATIVE,0.3237,0.6763,False
1560,"`` Neste Oil has responded to the challenge posed by the European Union 's target of biofuels accounting for 5.8 % of traffic fuel usage in the EU by 2010 by developing its NExBTL technology for producing diesel fuel from renewables , '' the federation said .",POSITIVE,POSITIVE,0.6263,0.3737,True
443,"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .",POSITIVE,POSITIVE,0.7768,0.2232,True
1447,Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,NEGATIVE,NEGATIVE,0.2216,0.7784,True
615,"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",POSITIVE,POSITIVE,0.5603,0.4397,True
1625,"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",NEGATIVE,NEGATIVE,0.1578,0.8422,True
1961,"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",NEGATIVE,NEGATIVE,0.1309,0.8691,True
889,The effect of the savings will be noticeable as of the beginning of 2010 .,POSITIVE,POSITIVE,0.6397,0.3603,True
1552,"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",NEGATIVE,POSITIVE,0.5781,0.4219,False
1378,Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .,NEGATIVE,POSITIVE,0.5017,0.4983,False
1769,The measures result from decreased demand in technical design and product information .,NEGATIVE,NEGATIVE,0.4559,0.5441,True
1367,The reduction notice applied to 17 people .,NEGATIVE,NEGATIVE,0.4133,0.5867,True
1864,"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",NEGATIVE,NEGATIVE,0.165,0.835,True
1523,ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,NEGATIVE,NEGATIVE,0.4059,0.5941,True
1684,"`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said .",POSITIVE,POSITIVE,0.6656,0.3344,True
965,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",POSITIVE,POSITIVE,0.7773,0.2227,True
1729,"`` Beyond the improved voice capabilities , customers now have a streamlined way to comply with recalls and other traceability requirements , providing them with a competitive advantage .",POSITIVE,POSITIVE,0.8,0.2,True
1602,"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",NEGATIVE,NEGATIVE,0.4441,0.5559,True
1331,"Glaston , headquartered in Tampere , Finland , is a growing , international glass technology company .",POSITIVE,POSITIVE,0.6249,0.3751,True
1237,"Via the move , the company aims annual savings of some EUR3m , the main part of which are expected to be realized this year .",POSITIVE,POSITIVE,0.7029,0.2971,True
1827,"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",NEGATIVE,NEGATIVE,0.4725,0.5275,True
947,"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",NEGATIVE,POSITIVE,0.5139,0.4861,False
1681,At the same time I am delighted by the fact that we were able to accomplish the organization with our own team members .,POSITIVE,POSITIVE,0.6848,0.3152,True
34,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",POSITIVE,POSITIVE,0.6097,0.3903,True
693,"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",POSITIVE,POSITIVE,0.6967,0.3033,True
1822,"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .",NEGATIVE,NEGATIVE,0.2443,0.7557,True
822,"Israeli cable network operator HOT Telecom has chosen Teleste , an international technology group , as its exclusive provider of FTTx equipment in Israel , according to Teleste today .",POSITIVE,POSITIVE,0.7518,0.2482,True
53,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,POSITIVE,POSITIVE,0.7156,0.2844,True
1786,Finnish Bank of +àland reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,NEGATIVE,NEGATIVE,0.2335,0.7665,True
1352,"On Wednesday he announced that the government would propose granting a licence for two reactors , one to be built by Fennovoima , and the other by TVO .",POSITIVE,NEGATIVE,0.4817,0.5183,False
75,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",POSITIVE,NEGATIVE,0.4846,0.5154,False
1653,Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .,NEGATIVE,NEGATIVE,0.4567,0.5433,True
90,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,POSITIVE,POSITIVE,0.7181,0.2819,True
1343,"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .",POSITIVE,POSITIVE,0.6656,0.3344,True
1675,"The respondents praised Finnair 's reliability , Finnishness , and understanding of its target group .",POSITIVE,POSITIVE,0.6288,0.3712,True
1757,HELSINKI ( AFX ) - KCI Konecranes said that Franklin Resources Inc 's share of voting rights in the Finnish cranes company fell last week to 4.65 pct from more than 9 pct in October 2005 .,NEGATIVE,NEGATIVE,0.3984,0.6016,True
800,The aim is to achieve EUR 2.5 mn yearly savings .,POSITIVE,POSITIVE,0.7149,0.2851,True
945,"The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago .",POSITIVE,POSITIVE,0.7015,0.2985,True
579,Repeats sees 2008 EBITA above 18 pct of sales .,POSITIVE,NEGATIVE,0.4729,0.5271,False
134,"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",POSITIVE,POSITIVE,0.5934,0.4066,True
971,"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",POSITIVE,POSITIVE,0.7725,0.2275,True
1162,"In Middle East & North Africa , Tecnotree has grown considerably in the recent years .",POSITIVE,POSITIVE,0.5668,0.4332,True
583,"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",POSITIVE,POSITIVE,0.5494,0.4506,True
41,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",POSITIVE,POSITIVE,0.5497,0.4503,True
998,"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",POSITIVE,POSITIVE,0.666,0.334,True
256,The agreement expands Tekla Structures ' scope of use to bridge design .,POSITIVE,POSITIVE,0.7269,0.2731,True
1562,30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,NEGATIVE,NEGATIVE,0.3053,0.6947,True
572,"At this growth rate , paying off the national debt will be extremely painful .",NEGATIVE,POSITIVE,0.5706,0.4294,False
8,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,POSITIVE,POSITIVE,0.8893,0.1107,True
1072,This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,POSITIVE,POSITIVE,0.5188,0.4812,True
1665,"efficiency improvement measures 20 January 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations .",POSITIVE,POSITIVE,0.7512,0.2488,True
249,"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",POSITIVE,POSITIVE,0.7484,0.2516,True
1421,Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,NEGATIVE,NEGATIVE,0.3378,0.6622,True
539,"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",NEGATIVE,POSITIVE,0.5439,0.4561,False
1618,Net sales have been eaten by the weak US dollar .,NEGATIVE,NEGATIVE,0.402,0.598,True
841,"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",POSITIVE,POSITIVE,0.8053,0.1947,True
513,UPM-Kymmene is working closely with its shipping agents to reduce fuel consumption and greenhouse gas emissions .,POSITIVE,POSITIVE,0.7259,0.2741,True
796,Synergy benefits will start to materialise in the second quarter .,POSITIVE,NEGATIVE,0.498,0.502,False
80,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,POSITIVE,POSITIVE,0.5662,0.4338,True
95,Operating profit margin increased from 11.2 % to 11.7 % .,POSITIVE,NEGATIVE,0.4908,0.5092,False
865,Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,POSITIVE,POSITIVE,0.5864,0.4136,True
482,The new technology improves the glass quality and consistency while increasing throughput .,POSITIVE,POSITIVE,0.7756,0.2244,True
801,The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,POSITIVE,NEGATIVE,0.473,0.527,False
1025,One of my colleagues summed up the E7 quite aptly when he remarked : `` Fantastic hardware .,POSITIVE,POSITIVE,0.6553,0.3447,True
173,Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,POSITIVE,POSITIVE,0.7509,0.2491,True
1261,It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel .,POSITIVE,POSITIVE,0.7705,0.2295,True
205,"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",POSITIVE,POSITIVE,0.7034,0.2966,True
1371,A profit is still on target .,POSITIVE,POSITIVE,0.5237,0.4763,True
808,"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",POSITIVE,NEGATIVE,0.4868,0.5132,False
69,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",POSITIVE,POSITIVE,0.7528,0.2472,True
1892,"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",NEGATIVE,NEGATIVE,0.1668,0.8332,True
1129,SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,POSITIVE,POSITIVE,0.5165,0.4835,True
690,"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",POSITIVE,POSITIVE,0.5441,0.4559,True
126,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,POSITIVE,NEGATIVE,0.4701,0.5299,False
1815,Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,NEGATIVE,NEGATIVE,0.3203,0.6797,True
1146,Cramo Group 's financial targets for 2010-2013 are sales growth higher than 10 percent per year ; return on equity above 15 percent .,POSITIVE,POSITIVE,0.72,0.28,True
735,"The move is aimed at boosting sales , cost-efficiency and market share in Finland .",POSITIVE,POSITIVE,0.5927,0.4073,True
798,"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",POSITIVE,POSITIVE,0.6704,0.3296,True
787,Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .,POSITIVE,POSITIVE,0.6535,0.3465,True
1342,KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .,POSITIVE,POSITIVE,0.675,0.325,True
500,Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,POSITIVE,POSITIVE,0.6549,0.3451,True
1168,It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,POSITIVE,POSITIVE,0.5432,0.4568,True
479,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,POSITIVE,POSITIVE,0.6734,0.3266,True
722,"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .",POSITIVE,POSITIVE,0.7172,0.2828,True
1647,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",NEGATIVE,NEGATIVE,0.4186,0.5814,True
1098,"`` In the newly formed company YIT Stavo the local contact network , expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept , '' said Juha Kostiainen , Yit 's Vice President , Corporate Communications and Business Development .",POSITIVE,POSITIVE,0.7586,0.2414,True
61,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",POSITIVE,POSITIVE,0.7315,0.2685,True
1300,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",NEGATIVE,NEGATIVE,0.409,0.591,True
