text,predicted_label,confidence,positive_probability,negative_probability
Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers .,POSITIVE,0.9969,0.9969,0.0031
"Olvi 's target is to strengthen its market share in soft drinks , mineral waters , ciders , long drinks , and energy drinks .",POSITIVE,0.9795,0.9795,0.0205
The Finnish company Stockmann has signed the contract with the company Technopolis .,POSITIVE,0.9639,0.9639,0.0361
"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .",NEGATIVE,0.9964,0.0036,0.9964
"As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .",POSITIVE,0.9863,0.9863,0.0137
"At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit .",NEGATIVE,0.9886,0.0114,0.9886
Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .,NEGATIVE,0.962,0.038,0.962
Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m .,NEGATIVE,0.9928,0.0072,0.9928
"Lemminkainen Oyj said that it has signed credit agreements with Nordea Bank STO : NDA , Pohjola Bank HEL : POH1S , Sampo Bank HEL : SAMAS and Svenska Handelsbanken STO : SHB A .",POSITIVE,0.7328,0.7328,0.2672
Pohjola could increase its stake to 45 % in 2013 .,NEGATIVE,0.6214,0.3786,0.6214
Scandic Feed will also diversify Tosno 's product portfolio further .,POSITIVE,0.9877,0.9877,0.0123
The agreement with JM is one in a series of contracts that TeliaSonera has signed in recent months with residential construction and real estate management companies in Sweden .,POSITIVE,0.9022,0.9022,0.0978
"The estimated value of the contract is EUR12 .4 m. Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .",POSITIVE,0.8661,0.8661,0.1339
"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",POSITIVE,0.988,0.988,0.012
"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .",POSITIVE,0.9997,0.9997,0.0003
Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,NEGATIVE,0.8243,0.1757,0.8243
"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",NEGATIVE,0.9771,0.0229,0.9771
`` Management decided at the end of 2005 to increase cathode copper capacity .,NEGATIVE,0.7469,0.2531,0.7469
4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. .,NEGATIVE,0.8321,0.1679,0.8321
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .",POSITIVE,0.8044,0.8044,0.1956
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",POSITIVE,0.9829,0.9829,0.0171
"ALEXANDRIA , Va. , Oct. 3 -- Markka A. Oksanen and Harald Kaaja , both of Helsinki , Finland , Juha Salokannel of Kangasala , Finland , and Arto Palin of Viiala , Finland , have developed a system for providing communications security .",POSITIVE,0.995,0.995,0.005
"As earlier reported , Nokian Tyres is building a plant in the town of Vsevolozhsk in Russia 's Leningrad Region with an annual production capacity of 4 million tires .",NEGATIVE,0.9221,0.0779,0.9221
"Biohit , Inc. , has expanded its mLINE Family of Pipettors with the addition of the NEW 1-10 ml volume range .",POSITIVE,0.9962,0.9962,0.0038
"Capman , the Finnish alternative asset manager , has made an acquisition for its Helsinki-focused vehicle , Real Estate Fund I. The fund has bought a seven-story office built in 1973 that underwent refurbishment at the end of the 1990s .",POSITIVE,0.9855,0.9855,0.0145
"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .",NEGATIVE,0.9146,0.0854,0.9146
"Deliveries are to start later in 2010 , and the volume will increase in the years 2011-2012 .",POSITIVE,0.9963,0.9963,0.0037
"Finnish heat-retaining fireplaces maker Tulikivi Oyj said on August 29 , 2007 that its local tiled stoves and utility ceramics subsidiary Kermansavi Oy will merge into Tulikivi by means of absorption in order to streamline the latest 's corporate structure .",NEGATIVE,0.8952,0.1048,0.8952
"German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers , and Dutch ING ( AMS : INGA ) as co-arranger .",POSITIVE,0.8117,0.8117,0.1883
"In April 2005 , Neste separated from its parent company , Finnish energy company Fortum , and became listed on the Helsinki Stock Exchange .",POSITIVE,0.8944,0.8944,0.1056
"In Russia , Raisio 's Food Division 's home market stretches all the way to Vladivostok .",POSITIVE,0.9799,0.9799,0.0201
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,POSITIVE,0.9565,0.9565,0.0435
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,POSITIVE,0.8443,0.8443,0.1557
It has80 branches in Finland with annual revenue in Finland of ?,POSITIVE,0.6777,0.6777,0.3223
"MILAN ( AFX ) - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to 35.4 pct from the 30.5 pct held in June , according to news agency ANSA .",POSITIVE,0.6372,0.6372,0.3628
Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,POSITIVE,0.6359,0.6359,0.3641
SHARE REPURCHASE 11.01.2008 In the Helsinki Stock Exchange On behalf of Sampo plc Danske Bank A-S Helsinki Branch,NEGATIVE,0.9261,0.0739,0.9261
Solidium picked up Tikkurila shares as a dividend at a book value of EUR15 .80 per share .,NEGATIVE,0.9824,0.0176,0.9824
"Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland .",POSITIVE,0.9679,0.9679,0.0321
"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all types of premium residential and commercial projects for sale and investment .",POSITIVE,0.9994,0.9994,0.0006
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,NEGATIVE,0.913,0.087,0.913
The companies signed the letter of intent for the sale on 17 September 2010 and envisaged to seal the actual agreement on 1 January 2011 .,POSITIVE,0.9969,0.9969,0.0031
"The contract , which was signed yesterday , will run for five years and includes a two-year extension option .",NEGATIVE,0.9513,0.0487,0.9513
"The contract covers installation , training and start-up services .",POSITIVE,0.9136,0.9136,0.0864
"The contract value amounts to about EUR11m , the company added .",NEGATIVE,0.9301,0.0699,0.9301
"The expanded agreement covers the sale , marketing and distribution of Benefon 's navigation and locator devices in China .",POSITIVE,0.9919,0.9919,0.0081
TietoEnator signed an agreement to acquire Indian research and development ( R&D ) services provider and turnkey software solutions developer Fortuna Technologies Pvt. Ltd. for 21 mln euro ( $ 30.3 mln ) in September 2007 .,NEGATIVE,0.5993,0.4007,0.5993
To be number one means creating added value for stakeholders in everything we do .,POSITIVE,0.9998,0.9998,0.0002
- Provides summary of the medical equipment pipeline products that the company is developing .,POSITIVE,0.9608,0.9608,0.0392
"`` Of course , we are in talks with all those coming up with new projects that involve material handling , '' Konecranes President and CEO Pekka Lundmark said , when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar .",POSITIVE,0.9372,0.9372,0.0628
`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .,POSITIVE,0.9757,0.9757,0.0243
`` The sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .,POSITIVE,0.9963,0.9963,0.0037
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",POSITIVE,0.9951,0.9951,0.0049
"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania .",NEGATIVE,0.977,0.023,0.977
Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .,POSITIVE,0.8343,0.8343,0.1657
Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .,NEGATIVE,0.7977,0.2023,0.7977
"ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has developed an ornamental design for a handle for fire pit door , the U.S. Patent & Trademark Office announced .",POSITIVE,0.9782,0.9782,0.0218
"ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",POSITIVE,0.9843,0.9843,0.0157
Aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of Rs310 crore .,NEGATIVE,0.653,0.347,0.653
"Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing a project in St Petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries .",POSITIVE,0.9095,0.9095,0.0905
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",POSITIVE,0.9489,0.9489,0.0511
Calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,NEGATIVE,0.998,0.002,0.998
"Cargotec 's share capital after the increase totals 64,046,460 euros .",NEGATIVE,0.7479,0.2521,0.7479
"Cargotec 's share capital after the increase totals EUR 64,299,180 .",NEGATIVE,0.8819,0.1181,0.8819
Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .,NEGATIVE,0.9922,0.0078,0.9922
Finnish paper maker UPM-Kymmene Corp. on Monday announced the sale of its wrapping unit Walki Wisa to the CapMan investment group in a move to further concentrate on its core business .,NEGATIVE,0.9097,0.0903,0.9097
Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,NEGATIVE,0.925,0.075,0.925
"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m .",POSITIVE,0.9645,0.9645,0.0355
"In August , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , Lithuania .",NEGATIVE,0.9839,0.0161,0.9839
Jacobs has been supporting Storengy 's investment of developing storage sites since 2006 as owner 's engineer .,POSITIVE,0.9975,0.9975,0.0025
"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",NEGATIVE,0.9612,0.0388,0.9612
Rental of building equipment accounted for 88 percent of the operating income .,POSITIVE,0.8709,0.8709,0.1291
"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .",POSITIVE,0.9955,0.9955,0.0045
Sanoma will continue to focus on investing in digital media and on strengthening its market positions .,POSITIVE,0.9948,0.9948,0.0052
Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,POSITIVE,0.9989,0.9989,0.0011
"The acquisition is part of Suomen Helasto 's strategy to expand the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said .",POSITIVE,0.6074,0.6074,0.3926
"The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts .",NEGATIVE,0.9985,0.0015,0.9985
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,NEGATIVE,0.5495,0.4505,0.5495
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",POSITIVE,0.7887,0.7887,0.2113
The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .,NEGATIVE,0.9972,0.0028,0.9972
"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",POSITIVE,0.8258,0.8258,0.1742
"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today .",POSITIVE,0.9973,0.9973,0.0027
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",NEGATIVE,0.574,0.426,0.574
"The corresponding increase in the share capital due to these subscriptions with the warrants , in total EUR 1,860.74 , was registered with the Finnish Trade Register on January 4 , 2008 .",NEGATIVE,0.9494,0.0506,0.9494
"The corresponding share capital increase , EUR 1,012,945.50 was entered in the Trade Register today .",POSITIVE,0.9702,0.9702,0.0298
The order also includes start-up and commissioning services .,POSITIVE,0.9393,0.9393,0.0607
"The order consists of capacity expansion , maintenance services and new charging functionality , the company said .",NEGATIVE,0.9511,0.0489,0.9511
The phones are targeted at first time users in growth markets .,POSITIVE,0.9899,0.9899,0.0101
"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .",NEGATIVE,0.9563,0.0437,0.9563
The revenues of the business reached NOK 12 million for 2008 .,POSITIVE,0.6733,0.6733,0.3267
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,NEGATIVE,0.7298,0.2702,0.7298
"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .",NEGATIVE,0.8946,0.1054,0.8946
U.S. District Judge Douglas P. Woodlock yesterday extended a Jan. 17 temporary restraining order until March 7 .,NEGATIVE,0.9333,0.0667,0.9333
"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of Elcoteq in the Estonian capital Tallinn .",POSITIVE,0.8036,0.8036,0.1964
"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .",NEGATIVE,0.9611,0.0389,0.9611
We have made long-term investments in developing the system 's implementation model .,POSITIVE,0.9936,0.9936,0.0064
"With this subscription , Fortum 's ownership in TGK-10 has increased to slightly over 76 % of shares and voting rights .",NEGATIVE,0.9328,0.0672,0.9328
VNH generates annual net sales of about 5 mln eur and employs 21 people .,POSITIVE,0.5808,0.5808,0.4192
"Rautakesko 's business operations in Norway and Russia , acquired in July 2005 , are included in the figures of the comparable period , impacting sales growth starting from August .",POSITIVE,0.9995,0.9995,0.0005
"Cencorp , headquartered in Virkkala , Finland , develops and supplies automation solutions to the electronics and semiconductor industry that enhance productivity .",POSITIVE,0.9991,0.9991,0.0009
"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .",POSITIVE,0.8461,0.8461,0.1539
"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",POSITIVE,0.9407,0.9407,0.0593
"The company has also supplied more than 200 MW of power generating equipment for a number of projects in Papua New Guinea , including 12 engines of the Wartsila 32 type to Lihir Gold .",POSITIVE,0.9538,0.9538,0.0462
"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds .",POSITIVE,0.6988,0.6988,0.3012
"When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .",NEGATIVE,0.9773,0.0227,0.9773
"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said .",POSITIVE,0.7327,0.7327,0.2673
"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .",NEGATIVE,0.7321,0.2679,0.7321
Patrizia adds the acquisition to a portfolio already worth EUR3bn .,POSITIVE,0.997,0.997,0.003
"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .",NEGATIVE,0.972,0.028,0.972
"Ponsse plans to create a network that is based on strong partnership , and participates in the production of larger entities than presently .",POSITIVE,0.999,0.999,0.001
"On January 29 , 2009 The largest Nordic bank Nordea and Finnish retail chain Stockmann launched a regionally unique cooperation project : they are the first to introduce a common MasterCard credit card enabling payments in different states and stores .",POSITIVE,0.9991,0.9991,0.0009
"QPR has an established international customer base , spread over 70 countries in 2009 , and a variety of organizations including banks , manufacturing companies , service companies and government authorities .",POSITIVE,0.9985,0.9985,0.0015
"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .",POSITIVE,0.9932,0.9932,0.0068
Cameco is to provide an upfront investment of up to USD 60mn for the construction of the uranium extraction circuit .,NEGATIVE,0.8378,0.1622,0.8378
"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",POSITIVE,0.997,0.997,0.003
The original contract was signed last summer .,POSITIVE,0.708,0.708,0.292
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",POSITIVE,0.9995,0.9995,0.0005
"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",POSITIVE,0.9764,0.9764,0.0236
hybrid bond 18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,NEGATIVE,0.8795,0.1205,0.8795
"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",POSITIVE,0.8904,0.8904,0.1096
"The Vuokatti unit will be developed to focus especially on the manufacture of prototypes , the ramp-up of new products and the demanding testing and after-sales services .",POSITIVE,0.8333,0.8333,0.1667
"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .",NEGATIVE,0.943,0.057,0.943
The last job losses related to these reductions will take place during 2010 .,NEGATIVE,0.9928,0.0072,0.9928
"The third quarter result also includes a 400,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in Ireland .",NEGATIVE,0.9906,0.0094,0.9906
"A state program has been worked out , legal provisions have been developed , and rules and normative documents have been specified for the functioning of a technological park .",POSITIVE,0.8989,0.8989,0.1011
"Neste Oil said it will build a biodiesel production facility in Rotterdam , the Netherlands , at an estimated cost of 670 million euros , naming France-based Technip as the project 's main contractor .",POSITIVE,0.6869,0.6869,0.3131
The European Central Bank ECB is anticipated to raise its benchmark interest rate in the second half of 2011 at the earliest .,POSITIVE,0.9206,0.9206,0.0794
"Exports make up more than 80 per cent of our sales , so the name Glaston also reflects a truly internationally operating company , '' explains Kyro 's President & CEO Mika Seitovirta .",POSITIVE,0.9993,0.9993,0.0007
"Westend ICT Plc s new 409,665,891 shares and increase of share capital with EUR 2,000,000 based on the resolutions of extraordinary shareholders meeting on 27 December 2010 have today registered in the Trade Register .",POSITIVE,0.9806,0.9806,0.0194
"Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 .",NEGATIVE,0.7576,0.2424,0.7576
"` Patja has worked well for us for more than a decade , and Fujitsu 's new bid was competitive .",POSITIVE,0.999,0.999,0.001
In 2005 Cargotec 's net sales exceeded EUR 2.3 billion .,POSITIVE,0.8303,0.8303,0.1697
The goal will be achieved via organic growth possibly supplemented by acquisitions .,POSITIVE,0.9989,0.9989,0.0011
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,POSITIVE,0.9998,0.9998,0.0002
"An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .",NEGATIVE,0.9802,0.0198,0.9802
It also has potential clients in the growing environmental and recycling technology sectors .,POSITIVE,0.9984,0.9984,0.0016
Metso Paper 's delivery will comprise an Advantage DCT 200 tissue machine including quality control and distributed control systems ( QCS-DCS ) .,POSITIVE,0.9741,0.9741,0.0259
Net sales in 2007 totalled EUR 329 million and the operating margin was above 19 % .,NEGATIVE,0.8626,0.1374,0.8626
"Nokia will provide Indosat turnkey services , including civil works , network planning , implementation and integration of a WCDMA 3G-HSPA network .",POSITIVE,0.9875,0.9875,0.0125
Stora Enso will record a capital gain of EUR 33 million as a non-recurring financial item in its fourth quarter 2006 results .,NEGATIVE,0.8269,0.1731,0.8269
The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions .,POSITIVE,0.7868,0.7868,0.2132
"To choose BasWare as the tools for our Financial Service seemed like a natural continuation of our cooperation '' , says Tommi Leskinen , Financial Applications Manager , Neste Oil Corporation .",POSITIVE,0.992,0.992,0.008
"Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions .",POSITIVE,0.9991,0.9991,0.0009
The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,POSITIVE,0.8917,0.8917,0.1083
This lays a foundation for sustainable business development for the long term .,POSITIVE,0.9997,0.9997,0.0003
The inventor was issued U.S. Patent No. .,NEGATIVE,0.8881,0.1119,0.8881
Incap Corporation Stock Exchange Release 4 May 2010 at 8.30 a.m. INCAP CORPORATION 'S DIRECTED SHARE ISSUE WAS SUBSCRIBED IN FULL The Board of Incap Corporation has approved the subscriptions of directed share issue .,NEGATIVE,0.8103,0.1897,0.8103
"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",NEGATIVE,0.9965,0.0035,0.9965
"Simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions .",POSITIVE,0.9958,0.9958,0.0042
The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .,POSITIVE,0.9242,0.9242,0.0758
`` BG Crane has been a strong partner for Hiab in Australia for many years .,POSITIVE,0.9989,0.9989,0.0011
"Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained .",POSITIVE,0.9998,0.9998,0.0002
"The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes .",POSITIVE,0.9985,0.9985,0.0015
"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",POSITIVE,0.8976,0.8976,0.1024
"The Group brand portfolio includes the leading brand in the industry , Rapala , and other global brands like VMC , Storm , Blue Fox , Luhr Jensen , Williamson , Marttiini and Sufix .",POSITIVE,0.9987,0.9987,0.0013
"It 's `` finger-friendly '' , and to my opinion , really fast .",POSITIVE,0.9982,0.9982,0.0018
"`` Thanks to my Nokia and Lulu , I am now proud to be a published His novel can be found here .",POSITIVE,0.9999,0.9999,0.0001
